sku_code,description,width_mm,depth_mm,height_mm,weight_kg,weekly_demand,stock_weeks
SKU001,Small Office Supplies Box,200,250,180,2.5,2.1,3
SKU002,Medium Storage Container,350,400,300,5.2,3.5,4
SKU003,Large Packaging Material,480,520,420,8.9,0.8,2
SKU004,XS Component Tray,150,180,120,0.8,3.8,6
SKU005,Standard Tool Kit,280,320,240,3.7,1.9,3
SKU006,Heavy Equipment Box,550,600,500,18.5,0.3,2
SKU007,Compact Electronics Set,220,280,200,1.9,2.7,5
SKU008,Medium Parts Container,380,450,350,6.4,1.5,3
SKU009,Small Hardware Pack,180,200,150,1.3,3.2,4
SKU010,Large Industrial Supply,520,580,480,22.3,0.2,1
SKU011,Portable Tool Case,320,380,280,4.6,2.4,3
SKU012,Compact Storage Unit,240,300,220,2.8,3.1,4
SKU013,Standard Equipment Box,400,480,380,7.8,1.1,2
SKU014,Mini Component Set,140,160,100,0.6,3.9,7
SKU015,Medium Tool Organizer,360,420,320,5.9,1.8,3
SKU016,Large Parts Bin,490,540,440,15.7,0.5,2
SKU017,Small Fastener Box,190,220,170,1.5,3.4,5
SKU018,Standard Supply Container,340,390,300,4.9,2.2,3
SKU019,Compact Hardware Tray,210,260,190,2.1,2.9,4
SKU020,Heavy Duty Storage,560,620,520,25.8,0.1,1
SKU021,Portable Equipment Case,310,360,270,3.9,2.6,3
SKU022,Medium Component Box,370,430,340,6.1,1.7,3
SKU023,Small Electronics Kit,200,240,180,1.7,3.3,5
SKU024,Standard Parts Container,420,490,400,8.5,1.0,2
SKU025,XS Hardware Set,130,150,90,0.5,4.0,8
SKU026,Large Tool Organizer,510,570,470,19.2,0.4,2
SKU027,Compact Supply Box,250,310,230,3.1,2.8,4
SKU028,Medium Equipment Tray,390,460,360,6.8,1.4,3
SKU029,Small Industrial Pack,170,210,160,1.4,3.6,5
SKU030,Heavy Storage Unit,540,590,510,21.5,0.2,1
SKU031,Portable Parts Case,330,380,290,4.3,2.5,3
SKU032,Standard Component Box,350,410,330,5.6,2.0,3
SKU033,Compact Tool Kit,230,280,210,2.6,3.0,4
SKU034,Large Supply Container,500,560,480,17.4,0.6,2
SKU035,Mini Hardware Tray,160,190,130,0.9,3.7,6
SKU036,Medium Storage Box,380,440,350,6.5,1.6,3
SKU037,Small Equipment Set,210,250,190,2.0,2.9,4
SKU038,Standard Industrial Unit,430,500,410,9.2,0.9,2
SKU039,XS Component Pack,120,140,80,0.4,3.9,9
SKU040,Large Parts Organizer,520,580,490,20.1,0.3,2
SKU041,Compact Electronics Box,260,320,240,3.4,2.7,4
SKU042,Medium Tool Container,400,470,380,7.2,1.3,3
SKU043,Small Supply Tray,180,220,170,1.6,3.5,5
SKU044,Heavy Equipment Storage,570,630,530,24.7,0.1,1
SKU045,Portable Component Case,320,370,280,4.1,2.4,3
SKU046,Standard Parts Box,360,420,340,5.8,2.1,3
SKU047,Compact Hardware Kit,240,290,220,2.9,3.1,4
SKU048,Large Tool Storage,510,570,480,18.9,0.5,2
SKU049,Mini Supply Set,150,180,120,0.7,3.8,7
SKU050,Medium Equipment Box,390,450,360,6.7,1.5,3
SKU051,Small Industrial Container,200,240,180,1.8,3.3,5
SKU052,Standard Storage Unit,420,490,400,8.7,1.0,2
SKU053,XS Tool Tray,140,160,100,0.6,4.0,8
SKU054,Large Parts Container,530,590,500,19.8,0.4,2
SKU055,Compact Supply Case,270,330,250,3.6,2.8,4
SKU056,Medium Component Organizer,410,480,390,7.5,1.2,3
SKU057,Small Hardware Container,190,230,180,1.7,3.4,5
SKU058,Heavy Industrial Storage,580,640,540,26.5,0.1,1
SKU059,Portable Equipment Box,340,390,300,4.8,2.3,3
SKU060,Standard Tool Storage,370,430,350,6.3,1.9,3
SKU061,Compact Parts Tray,250,300,230,3.0,3.0,4
SKU062,Large Supply Organizer,520,580,490,18.6,0.5,2
SKU063,Mini Component Box,160,190,130,0.8,3.7,6
SKU064,Medium Storage Tray,400,460,370,6.9,1.4,3
SKU065,Small Equipment Tray,210,260,200,2.2,3.2,4
SKU066,Standard Industrial Box,440,510,420,9.5,0.8,2
SKU067,XS Electronics Set,130,150,90,0.5,3.9,9
SKU068,Large Tool Container,540,600,510,20.8,0.3,2
SKU069,Compact Hardware Box,280,340,260,3.8,2.6,4
SKU070,Medium Parts Storage,420,490,400,7.9,1.1,3
SKU071,Glass Display Case,300,350,280,4.2,1.8,3
SKU072,Ceramic Vase Set,250,300,220,3.5,2.5,4
SKU073,Fragile Glassware Box,280,320,240,3.9,1.3,3
SKU074,Porcelain Dinnerware,320,380,300,5.8,0.9,2
SKU075,China Tea Set,260,310,240,4.1,2.0,3
SKU076,Fast Picker Item A,180,220,160,1.4,8.5,5
SKU077,Fast Picker Item B,200,250,180,1.9,12.3,6
SKU078,Fast Picker Item C,190,230,170,1.6,15.7,7
SKU079,Fast Picker Item D,210,260,190,2.1,10.2,5
SKU080,Fast Picker Item E,220,280,200,2.3,9.8,6
